label,left_id,left_title,left_category,left_brand,left_modelno,left_price,right_id,right_title,right_category,right_brand,right_modelno,right_price
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17384,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,projection screens,elite,,
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,16963,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,
0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,16963,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17380,cinewhite prime vision series fixed frame screen - 120 diagonal projection screens 929.0,,elite,,
0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,17380,cinewhite prime vision series fixed frame screen - 120 diagonal projection screens 929.0,,elite,,
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17697,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,projection screens,elite,,
0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,17697,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,projection screens,elite,,
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17383,cinegray prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,
1,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,17383,cinegray prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17382,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal projection screens elite,,,,205.2
0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,17382,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal projection screens elite,,,,205.2
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,260,cinegray ezframe series fixed frame screen - 84 diagonal projection screens 519.0,,elite,,
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,3825,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,
0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,3825,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,14348,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99
0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,14348,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99
0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,14348,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,2613,texas longhorns iphone 4 case silicone cover computers accessories,,tribeca,,19.99
0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,2613,texas longhorns iphone 4 case silicone cover computers accessories,,tribeca,,19.99
0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,2613,texas longhorns iphone 4 case silicone cover computers accessories,,tribeca,,19.99
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,13388,lsu tigers iphone 4 case silicone cover,computers accessories,tribeca,,17.99
0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,13388,lsu tigers iphone 4 case silicone cover,computers accessories,tribeca,,17.99
0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,13388,lsu tigers iphone 4 case silicone cover,computers accessories,tribeca,,17.99
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,14005,utah jazz iphone 4 case silicone cover,computers accessories,tribeca,,17.99
0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,14005,utah jazz iphone 4 case silicone cover,computers accessories,tribeca,,17.99
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,16444,wisconsin badgers iphone 4 case silicone cover computers accessories tribeca,,,,17.99
0,671,wisconsin badgers iphone 4 case black shell electronics - general fva3175 29.99,,tribeca,,,16444,wisconsin badgers iphone 4 case silicone cover computers accessories tribeca,,,,17.99
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,13545,iowa hawkeyes iphone 4 case silicone cover 17.99,computers accessories,tribeca,,
0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,13545,iowa hawkeyes iphone 4 case silicone cover 17.99,computers accessories,tribeca,,
0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,13545,iowa hawkeyes iphone 4 case silicone cover 17.99,computers accessories,tribeca,,
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,7555,penn state nittany lions iphone 4 case silicone cover cases,,tribeca,,17.99
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,9913,alabama crimson tide iphone 4 case silicone cover computers accessories 17.74,,tribeca,,
0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,9913,alabama crimson tide iphone 4 case silicone cover computers accessories 17.74,,tribeca,,
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,5842,michigan wolverines iphone 4 case silicone cover computers accessories,,tribeca,,17.99
0,1882,michigan wolverines iphone 3g silicone cover electronics - general,,tribeca,fva2158,19.99,5842,michigan wolverines iphone 4 case silicone cover computers accessories,,tribeca,,17.99
1,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,5842,michigan wolverines iphone 4 case silicone cover computers accessories,,tribeca,,17.99
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,18895,ohio state buckeyes iphone 4 case silicone cover computers accessories tribeca 17.99,,,,
0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,18895,ohio state buckeyes iphone 4 case silicone cover computers accessories tribeca 17.99,,,,
0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,18895,ohio state buckeyes iphone 4 case silicone cover computers accessories tribeca 17.99,,,,
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,7665,boston bruins iphone 4 case silicone cover computers accessories 17.99,,tribeca,,
0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,7665,boston bruins iphone 4 case silicone cover computers accessories 17.99,,tribeca,,
0,337,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,20538,premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . . compatible,inkjet printer ink,,hp-q6511x,28.92
0,1861,innovera d2130b black compatible high-yield toner print cartridge 58.9,printers,innovera,d2130b,,20538,premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . . compatible,inkjet printer ink,,hp-q6511x,28.92
0,337,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,19585,innovera pc201 compatible thermal print cartridge ribbon black 13.13,printer ink toner,innovera,,
0,337,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,4883,innovera 104 - 104 compatible toner 2000 page-yield black innovera,computer accessories,,,
0,1850,innovera 7653 compatible ink 8000 page-yield red 7653,printers,innovera,,54.1,4883,innovera 104 - 104 compatible toner 2000 page-yield black innovera,computer accessories,,,
0,1528,innovera m4640 compatible remanufactured high-yield ink 484 page-yield black printers innovera,,,m4640,24.99,4883,innovera 104 - 104 compatible toner 2000 page-yield black innovera,computer accessories,,,
0,1861,innovera d2130b black compatible high-yield toner print cartridge 58.9,printers,innovera,d2130b,,4883,innovera 104 - 104 compatible toner 2000 page-yield black innovera,computer accessories,,,
0,337,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,18357,new-innovera d2130b - d2130b compatible high-yield toner 2500 page-yield black - ivrd2130b computer accessories,,innovera,,78.0
