label,left_id,left_title,left_authors,left_venue,left_year,right_id,right_title,right_authors,right_venue,right_year
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,6425,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,
0,1610,temporal conditions and integrity constraints in active database systems sigmod conference,"a sistla , o wolfson",,1995.0,6425,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,
0,1999,the role of integrity constraints in database interoperation 1996,"m vermeer , p apers",vldb,,6425,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,
1,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,44470,protocol : a technique for maintaining linear arithmetic constraints in distributed database systems,", h garcia-molina",,
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,55077,"a locking protocol for resource coordination in distributed databases acm transactions on database systems ,","da menasce , gj popek , rr muntz",,1980.0
1,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,17380,"the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbarã ¡ - millã ¡ , h garcia-molina",,"the vldb journal the international journal on very large & hellip ; ,",1994.0
0,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,17380,"the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbarã ¡ - millã ¡ , h garcia-molina",,"the vldb journal the international journal on very large & hellip ; ,",1994.0
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,51500,"query processing in sdd-1 : a system for distributed databases n goodman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",
0,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,51500,"query processing in sdd-1 : a system for distributed databases n goodman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",
0,2528,mariposa : a wide-area distributed database system 1996,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,,51500,"query processing in sdd-1 : a system for distributed databases n goodman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,37650,"revisiting commit processing performance in distributed database systems r gupta , j haritsa , k ramamritham",,"proc . acm sigmod int &#39; l conf . management of data ,",
1,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,37650,"revisiting commit processing performance in distributed database systems r gupta , j haritsa , k ramamritham",,"proc . acm sigmod int &#39; l conf . management of data ,",
1,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,21082,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,"d barbara , h garcia-molina",lecture notes in computer,
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,2030,locating data sources in large distributed systems vldb,"l galanis , y wang , s jeffery , d dewitt",,2003.0,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,670,deeds towards a distributed and active real-time database system 1996,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,2538,an introduction to spatial database systems vldb j. 1994,r gќting,,,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,807,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000.0,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,707,"the network is the database : data management for highly distributed systems j navas , m wynblatt sigmod conference",,,2001.0,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,1239,"smooth - a distributed multimedia database system h kosch , l bіszіrmщnyi , a bachlechner , c hanin , c hofbauer , m lang , c riedler , r tusch vldb 2001",,,,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,1421,"query caching and optimization in distributed mediator systems s adali , k candan , y papakonstantinou , v subrahmanian sigmod conference",,,1996.0,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,2383,"deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis n krivokapic , a kemper , e gudes",,vldb j.,1999.0,5159,data allocation in distributed database systems 1988.0,pmg apers,acm transactions on database,
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,2799,"local verification of global constraints in distributed databases proceedings of the acm sigmod conference on management of & hellip ; ,","a gupta , j widom",,
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,47913,"distributed query processing in database systems proc . acm sigmod , austin . tx . june ,","r epstein , m stonebraker , e wong",,
0,2030,locating data sources in large distributed systems vldb,"l galanis , y wang , s jeffery , d dewitt",,2003.0,47913,"distributed query processing in database systems proc . acm sigmod , austin . tx . june ,","r epstein , m stonebraker , e wong",,
0,703,"query optimization in compressed database systems z chen , j gehrke , f korn",,sigmod conference,2001.0,47913,"distributed query processing in database systems proc . acm sigmod , austin . tx . june ,","r epstein , m stonebraker , e wong",,
0,807,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000.0,47913,"distributed query processing in database systems proc . acm sigmod , austin . tx . june ,","r epstein , m stonebraker , e wong",,
0,1721,"distributed processing over stand-alone systems and applications g alonso , c hagen , h schek , m tresch vldb",,,1997.0,47913,"distributed query processing in database systems proc . acm sigmod , austin . tx . june ,","r epstein , m stonebraker , e wong",,
0,2528,mariposa : a wide-area distributed database system 1996,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,,47913,"distributed query processing in database systems proc . acm sigmod , austin . tx . june ,","r epstein , m stonebraker , e wong",,
0,104,query processing in tertiary memory databases s sarawagi,,vldb,1995.0,47913,"distributed query processing in database systems proc . acm sigmod , austin . tx . june ,","r epstein , m stonebraker , e wong",,
1,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,28449,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,d barbara911 barbara,"cs-tr-320-9 1 , princeton university , april 199",
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,3411,"a locking protocol for resource coordination in distributed systems da menasce , gj popek , rr muntz",,"tods , june ,",
0,2030,locating data sources in large distributed systems vldb,"l galanis , y wang , s jeffery , d dewitt",,2003.0,3411,"a locking protocol for resource coordination in distributed systems da menasce , gj popek , rr muntz",,"tods , june ,",
