label,left_id,left_title,left_category,left_brand,left_modelno,left_price,right_id,right_title,right_category,right_brand,right_modelno,right_price
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,17384,cinegray ezframe series fixed frame screen - 150 diagonal,projection screens,elite,,879.0
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,16963,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0
0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,16963,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,17380,cinewhite prime vision series fixed frame screen - 120 diagonal,projection screens,elite,,929.0
0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,17380,cinewhite prime vision series fixed frame screen - 120 diagonal,projection screens,elite,,929.0
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,17697,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,projection screens,elite,,459.0
0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,17697,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,projection screens,elite,,459.0
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,17383,cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0
1,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,17383,cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,17382,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal,projection screens,elite,,205.2
0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,17382,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal,projection screens,elite,,205.2
0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,260,cinegray ezframe series fixed frame screen - 84 diagonal,projection screens,elite,,519.0
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,3825,georgia bulldogs iphone 4 case silicone cover,computers accessories,tribeca,,17.99
0,1229,michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,3825,georgia bulldogs iphone 4 case silicone cover,computers accessories,tribeca,,17.99
0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,14348,san antonio spurs iphone 4 case silicone cover,computers accessories,tribeca,,17.99
