label,left_id,left_name,left_description,left_price,right_id,right_name,right_description,right_price
0,730,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,775,lg ldf6920bb fully integrated dishwasher,,
0,731,lg 24 ' lds4821bb semi integrated built in black dishwasher lds4821bk,lg 24 ' lds4821bb semi integrated built in black dishwasher lds4821bk xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel black finish,,775,lg ldf6920bb fully integrated dishwasher,,
1,735,lg 24 ' ldf6920bb fully integrated built in black dishwasher ldf6920bk,lg 24 ' ldf6920bb fully integrated built in black dishwasher ldf6920bk xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel black finish,,775,lg ldf6920bb fully integrated dishwasher,,
0,732,lg 24 ' ldf6920ww fully integrated built in white dishwasher ldf6920wh,lg 24 ' ldf6920ww fully integrated built in white dishwasher ldf6920wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel white finish,,775,lg ldf6920bb fully integrated dishwasher,,
0,734,lg 24 ' ldf6920st fully integrated built in stainless steel dishwasher ldf6920ss,lg 24 ' ldf6920st fully integrated built in stainless steel dishwasher ldf6920ss xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel stainless steel finish,,775,lg ldf6920bb fully integrated dishwasher,,
0,730,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
0,45,whirlpool 24 ' built-in dishwasher du1100ss,whirlpool 24 ' built-in dishwasher du1100ss 14-five piece place setting super capacity tub 5 level wash temperature and pressure sensors 4 automatic cycles soak and scour option anyware plus silverware basket hard food disposer with self-cleaning filter quiet partner ii sound package energy star qualified black-on-stainless finish,,845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
0,220,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss granitegrey interior idry intelligent saharadry system silentdesign sound insulation package 12 easy clean electronic touchpads digital display 5-level precision direct wash system with aquasurge and variable washing pressure smart soil sensor stainless steel finish,,845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
0,355,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk 5-level precision direct wash system variable washing pressure power dry drying system granitegrey interior stainless steel food disposer and self cleaning filter 12 easy clean electronic touchpads with digital display smart soil sensor ultraquiet plus sound insulation package black finish,,845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
0,39,ge gsd4000nww white built-in dishwasher gsd4000wh,ge gsd4000nww white built-in dishwasher gsd4000wh 5-level powerscrub wash system with powershower electronic controls 100 percent water filtration with extrafine filter 2/4/8-hour delay start china/crystal cycle white finish,,845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
0,74,whirlpool 24 ' built-in dishwasher du1055ss,whirlpool 24 ' built-in dishwasher du1055ss 14-five piece place setting super capacity tub 5 level direct feed sheerclean wash system 4 cycles soak and scour option anyware plus silverware basket quiet partner i sound package energy star qualified black on stainless finish,491.0,845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
0,356,frigidaire gld4355rfs gallery speedclean 24 ' white dishwasher gld4355wh,frigidaire gld4355rfs gallery speedclean 24 ' white dishwasher gld4355wh 5-level precision direct wash system variable washing pressure power dry drying system granitegrey interior stainless steel food disposer and self cleaning filter 12 easy clean electronic touchpads with digital display smart soil sensor ultraquiet plus sound insulation package white finish,,845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
0,183,frigidaire 24 ' pld4375rfc built-in stainless steel dishwasher pld4375ss,frigidaire 24 ' pld4375rfc built-in stainless steel dishwasher pld4375ss power dry drying system granitegrey interior 5-level precision direct wash system self-cleaning filter smart soil sensor stainless steel finish,,845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
0,327,ge 24 ' gsd2400nww white built-in dishwasher gsd2400wh,ge 24 ' gsd2400nww white built-in dishwasher gsd2400wh 4-level powerscrub wash system hotstart option piranha hard food disposer heated dry option self-cleaning filter system white finish,259.0,845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),,246.54
1,730,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,779,lg semi-integrated electronic panel with digital status display dishwasher,,
0,670,speck seethru clear hard shell case for macbook air mbaclrsee,speck seethru clear hard shell case for macbook air mbaclrsee thin and sleek protective case access to all ports 2-piece snap on clear finish,,820,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,
0,671,speck seethru pink hard shell case for macbook air mbapnksee,speck seethru pink hard shell case for macbook air mbapnksee thin and sleek protective case access to all ports 2-piece snap on pink finish,,820,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,
0,844,speck seethru red hard shell case for 13 ' macbook mb13redseev2,speck seethru red hard shell case for 13 ' macbook mb13redseev2 translucent hard plastic shell gives great protection full access to all controls rubber feet for added support red finish,,820,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,
0,622,speck seethru aqua hard shell case for 20 ' imac im20aqusee,speck seethru aqua hard shell case for 20 ' imac im20aqusee adds color and style to imac easy and safe to use totally removable case does not cover the screen or camera fits 20 ' widescreen imac aqua finish,,820,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,
0,838,speck seethru black hard shell case for 13 ' macbook mb13blkseev2,speck seethru black hard shell case for 13 ' macbook mb13blkseev2 translucent hard plastic shell gives great protection full access to all controls rubber feet for added support black finish,,820,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,
0,795,speck green 13 ' macbook see thru hard shell case mb13grnseev2,speck green 13 ' macbook see thru hard shell case mb13grnseev2 hard plastic shell gives great protection full access to all controls rubber feet for added support green finish,,820,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,
